         9419130906 function calls (9037817859 primitive calls) in 13814.526 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2910304 4545.223    0.002 4552.395    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   121258 2953.018    0.024 2953.018    0.024 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
  6908706   14.987    0.000   29.495    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\dtypes.py:172(is_compatible_with)
 92345100   14.835    0.000   14.835    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1408(_SetListener)
  4843783   14.796    0.000   23.073    0.000 C:\Users\puyan\OneDrive\Desktop\M.S. Aerospace Engineering Sciences\Special Topics in Sequential Decision Making\Final Project\python\chess_api.py:162(move_2_pdd)
  7271328   14.711    0.000   14.711    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_SetAttrValueProto}
  4120404   14.689    0.000   49.874    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:5866(get_controller)
 19026466   14.651    0.000   14.651    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\decoder.py:130(DecodeVarint)
5332592/2302694   14.344    0.000  113.668    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\core\function\trace_type\trace_type_builder.py:97(from_value)
  4605172   14.320    0.000  114.055    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:2676(get_attr)
  5211486   14.251    0.000   34.303    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\nest.py:185(_sequence_like)
  2424232   14.188    0.000  791.768    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\constant_op.py:271(_constant_impl)
  3393280   14.133    0.000  204.721    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:660(_get_resource_inputs)
  3514466   13.810    0.000   13.810    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewOperation}
22056284/9816266   13.522    0.000  160.545    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\encoder.py:305(FieldSize)
   363558   13.265    0.000   13.265    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
33544747/18757703   13.202    0.000   37.364    0.000 {built-in method builtins.hash}
113923176   12.976    0.000   12.976    0.000 {method 'startswith' of 'str' objects}
 10300994   12.900    0.000  149.902    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1093(SerializePartialToString)
 92224306   12.842    0.000   12.842    0.000 {method 'setdefault' of 'dict' objects}
 14300124   12.797    0.000   29.564    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1533(Modified)
2667244/2061170   12.759    0.000 1806.383    0.001 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\dispatch.py:1162(op_dispatch_handler)
 44476094   12.722    0.000   12.722    0.000 {built-in method _codecs.lookup}
19268974/18057082   12.671    0.000  306.985    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\message.py:117(CopyFrom)
 17330126   12.610    0.000   15.567    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:853(HasField)
 55867930   12.603    0.000   44.894    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:2578(type)
  1696604   12.060    0.000  110.375    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\data\util\options.py:115(merge_options)
 15513312   11.959    0.000   11.959    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\dtypes.py:63(_is_ref_dtype)
6424634/3394304   11.936    0.000 5061.298    0.001 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\traceback_utils.py:138(error_handler)
10824553/8643229   11.755    0.000   55.757    0.000 {built-in method builtins.any}
 19271238   11.691    0.000   18.832    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:6314(get_default_graph)
 28479326   11.651    0.000   31.837    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:746(getter)
 37327872   11.648    0.000   65.835    0.000 {built-in method builtins.setattr}
  3393280   11.614    0.000   11.614    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\c_api_util.py:232(tf_output)
   484816   11.396    0.000 4566.649    0.009 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\polymorphic_function\tracing_compiler.py:303(_maybe_define_function)
  2275533   11.212    0.000   27.601    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:2176(push)
 14178994   11.003    0.000   37.116    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\type_checkers.py:151(CheckValue)
102369290   10.986    0.000   10.986    0.000 {method 'append' of 'list' objects}
  7262197   10.932    0.000   10.932    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:781(_attackers_mask)
 14300260   10.895    0.000   16.592    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\encoder.py:244(FieldSize)
  4726646   10.836    0.000   87.505    0.000 C:\Users\puyan\anaconda3\lib\typing.py:1141(__instancecheck__)
 15291791   10.789    0.000   77.608    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:3554(generate_legal_moves)
  3393280   10.679    0.000  131.645    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\auto_control_deps_utils.py:85(get_read_write_resource_inputs)
 70290624   10.619    0.000   10.619    0.000 {method 'encode' of 'str' objects}
  1696604   10.598    0.000  121.340    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:225(__init__)
 10300994   10.487    0.000  183.167    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1080(SerializeToString)
